mode,load,0_densenet121-8,1_vgg11-16,2_vgg19-4
mps-uncap,0.8,6.693840026855469,5.416631698608398,3.2961368560791016
mps-uncap,0.9,6.8359375,5.42759895324707,3.309011459350586
mps-uncap,1.0,7.1544647216796875,5.4645538330078125,3.3135414123535156
mps-uncap,0.5,6.841421127319336,5.39088249206543,3.3025741577148438
mps-uncap,0.6,6.955862045288086,5.407571792602539,3.2961368560791016
mps-uncap,0.7,6.900548934936523,5.405187606811523,3.3011436462402344
mps-uncap,0.1,7.069587707519531,5.401611328125,3.306865692138672
mps-uncap,0.2,6.978034973144531,5.353689193725586,3.2846927642822266
mps-uncap,0.3,7.021665573120117,5.392551422119141,3.285646438598633
mps-uncap,0.4,6.923437118530273,5.386829376220703,3.30352783203125
