mode,load,0_efficientnet_b6-2,1_squeezenet1_0-32,2_vgg19-2
mps-uncap,0.8,28.723573684692383,7.825136184692383,7.42182731628418
mps-uncap,0.9,31.075239181518555,8.0322265625,7.755327224731445
mps-uncap,1.0,32.76481628417969,8.214473724365234,7.997751235961914
mps-uncap,0.5,23.07720184326172,7.226157188415528,6.337404251098633
mps-uncap,0.6,25.476503372192383,7.473278045654297,6.576752662658691
mps-uncap,0.7,28.292226791381832,7.680702209472656,6.961941719055176
mps-uncap,0.1,25.281953811645508,6.0535430908203125,2.7441978454589844
mps-uncap,0.2,25.269508361816406,6.715703010559082,4.385089874267577
mps-uncap,0.3,25.24702548980713,7.087898254394531,5.41503429412842
mps-uncap,0.4,23.470187187194824,7.108163833618165,5.748844146728516
