mode,load,0_efficientnet_b6-2,1_squeezenet1_0-32,2_vgg19-2
mps-uncap,0.8,19.302010536193848,7.104396820068359,5.117058753967285
mps-uncap,0.9,25.760889053344727,7.507801055908203,6.057977676391602
mps-uncap,1.0,30.101299285888672,7.865667343139648,7.551431655883789
mps-uncap,0.5,16.766786575317383,5.9615373611450195,2.7093887329101562
mps-uncap,0.6,16.533374786376953,6.1997175216674805,2.8220415115356445
mps-uncap,0.7,17.22240447998047,6.496667861938477,3.9690732955932617
mps-uncap,0.1,23.75936508178711,5.641460418701172,2.5017261505126953
mps-uncap,0.2,21.12436294555664,5.637049674987793,2.465486526489258
mps-uncap,0.3,18.279552459716797,5.647778511047363,2.4787187576293945
mps-uncap,0.4,17.503738403320312,5.731105804443359,2.485990524291992
