mode,load,0_densenet121-16,1_mobilenet_v3_small-8,2_vgg11-16
mps-uncap,0.8,72.41630554199219,20.848608016967773,26.36241912841797
mps-uncap,0.9,143.06554794311526,40.701246261596694,58.3395004272461
mps-uncap,1.0,517.001509666443,2216.502332687378,242.75217056274414
mps-uncap,0.5,30.867338180541992,12.574005126953127,12.26949691772461
mps-uncap,0.6,35.45784950256348,13.444399833679201,15.38848876953125
mps-uncap,0.7,43.47686767578126,15.187621116638184,19.460105895996097
mps-uncap,0.1,19.24111843109131,7.623910903930664,6.121253967285159
mps-uncap,0.2,20.527386665344242,8.143901824951172,8.134126663208011
mps-uncap,0.3,23.86879920959473,9.60636138916016,9.450769424438484
mps-uncap,0.4,26.181983947753903,11.342287063598633,10.705423355102539
