mode,load,0_mobilenet_v2-8,1_mobilenet_v3_small-8,2_vgg19-32
mps-uncap,0.8,0.010251998901367188,0.009775161743164062,0.013113021850585938
mps-uncap,0.9,0.008821487426757812,0.009298324584960938,0.012636184692382812
mps-uncap,1.0,0.011444091796875,0.011444091796875,0.012636184692382812
mps-uncap,0.5,0.011682510375976562,0.010967254638671875,0.01239776611328125
mps-uncap,0.6,0.010251998901367188,0.01049041748046875,0.01239776611328125
mps-uncap,0.7,0.010728836059570312,0.01049041748046875,0.012159347534179688
mps-uncap,0.1,0.0133514404296875,0.01239776611328125,0.02193450927734375
mps-uncap,0.2,0.012636184692382812,0.01239776611328125,0.011205673217773438
mps-uncap,0.3,0.011205673217773438,0.011444091796875,0.013113021850585938
mps-uncap,0.4,0.011444091796875,0.011205673217773438,0.012874603271484375
