mode,load,0_mobilenet_v2-8,1_mobilenet_v3_small-8,2_vgg19-32
mps-uncap,0.8,414.997637854582,456.78608519331044,1085.1296731775274
mps-uncap,0.9,457.7968134422207,490.4758582145874,1218.5480409667807
mps-uncap,1.0,518.2769133002057,575.2962976561987,1339.0018553396706
mps-uncap,0.5,252.93107548961171,267.52576988366286,656.8212721753002
mps-uncap,0.6,313.53997545383993,342.7546715339477,784.0361056133395
mps-uncap,0.7,354.30965746731437,389.53769994809693,934.8146676787451
mps-uncap,0.1,54.40411707877079,58.29568272681675,126.47094728612049
mps-uncap,0.2,103.86267517098798,112.45867043222555,272.9982308977399
mps-uncap,0.3,152.9776285057046,173.8558232433228,410.2217004501046
mps-uncap,0.4,200.09214290500017,228.59392502345003,532.1877748191022
