mode,load,0_mobilenet_v2-8,1_mobilenet_v3_small-8,2_vgg19-32
mps-uncap,0.8,22.155046463012695,21.669864654541016,25.02298355102539
mps-uncap,0.9,22.307872772216797,21.784305572509766,26.006221771240234
mps-uncap,1.0,22.40610122680664,21.965980529785156,24.890899658203125
mps-uncap,0.5,21.34537696838379,21.135330200195312,23.29111099243164
mps-uncap,0.6,21.813154220581055,21.898269653320312,23.579835891723633
mps-uncap,0.7,21.729469299316406,21.3320255279541,24.262666702270508
mps-uncap,0.1,19.94180679321289,20.110368728637695,21.365642547607422
mps-uncap,0.2,20.348072052001953,20.55191993713379,22.01080322265625
mps-uncap,0.3,20.720958709716797,19.996166229248047,22.622108459472656
mps-uncap,0.4,21.18682861328125,21.26789093017578,23.300647735595703
