mode,load,0_mobilenet_v2-8,1_mobilenet_v3_small-8,2_vgg19-32
mps-uncap,0.8,10.556221008300781,9.018421173095703,22.566795349121094
mps-uncap,0.9,13.121485710144043,11.5431547164917,22.998332977294922
mps-uncap,1.0,16.586899757385254,12.98975944519043,23.378610610961914
mps-uncap,0.5,5.689144134521484,5.898714065551758,21.229028701782227
mps-uncap,0.6,5.74493408203125,5.855202674865723,21.50881290435791
mps-uncap,0.7,7.711887359619141,6.549954414367676,21.985650062561035
mps-uncap,0.1,5.784749984741211,6.083011627197266,20.238161087036133
mps-uncap,0.2,5.573391914367676,5.8983564376831055,20.304441452026367
mps-uncap,0.3,5.783319473266602,5.955219268798828,20.4923152923584
mps-uncap,0.4,5.624890327453613,5.84566593170166,20.917892456054688
