mode,load,0_mobilenet_v2-8,1_mobilenet_v3_small-8,2_vgg19-32
mps-uncap,0.8,165.20166397094727,94.29574012756348,186.48576736450195
mps-uncap,0.9,158.15281867980957,212.3417854309082,291.75806045532227
mps-uncap,1.0,707.4499130249023,1113.7588024139404,855.029821395874
mps-uncap,0.5,53.636789321899414,55.40204048156738,70.14870643615723
mps-uncap,0.6,56.60200119018555,55.42254447937012,134.43470001220703
mps-uncap,0.7,136.83748245239258,86.95197105407715,217.8823947906494
mps-uncap,0.1,16.35456085205078,10.648727416992188,36.338090896606445
mps-uncap,0.2,18.820762634277344,19.73581314086914,33.75840187072754
mps-uncap,0.3,33.14828872680664,18.21613311767578,62.384843826293945
mps-uncap,0.4,42.37937927246094,34.77048873901367,128.03936004638672
