mode,load,0_mobilenet_v2-8,1_mobilenet_v3_small-8,2_vgg19-32
mps-uncap,0.8,181.90336227416992,112.87689208984375,209.8410129547119
mps-uncap,0.9,179.31318283081055,230.20029067993164,315.49620628356934
mps-uncap,1.0,725.8205413818359,1131.9468021392822,879.0144920349121
mps-uncap,0.5,73.90522956848145,62.89076805114746,92.62537956237793
mps-uncap,0.6,76.56455039978027,71.63786888122559,157.15909004211426
mps-uncap,0.7,151.26895904541016,92.3004150390625,240.63706398010254
mps-uncap,0.1,21.97718620300293,20.13707160949707,57.2354793548584
mps-uncap,0.2,32.82809257507324,35.601139068603516,54.80527877807617
mps-uncap,0.3,38.14411163330078,28.734207153320312,84.98644828796387
mps-uncap,0.4,51.50008201599121,47.75691032409668,150.62260627746582
