mode,load,0_mobilenet_v2-8,1_mobilenet_v3_small-8,2_vgg19-32
mps-uncap,0.8,17.733097076416016,15.350103378295898,42.82951354980469
mps-uncap,0.9,26.770591735839844,21.871089935302734,64.08381462097168
mps-uncap,1.0,212.73458003997803,239.63415622711182,297.12891578674316
mps-uncap,0.5,6.8225860595703125,7.033586502075195,21.82459831237793
mps-uncap,0.6,8.975982666015625,9.14764404296875,23.87094497680664
mps-uncap,0.7,12.949943542480469,12.125134468078613,35.99739074707031
mps-uncap,0.1,5.860805511474609,6.167173385620117,20.301103591918945
mps-uncap,0.2,5.718588829040527,6.078243255615234,20.402193069458008
mps-uncap,0.3,5.962014198303223,6.174802780151367,20.84934711456299
mps-uncap,0.4,5.89597225189209,6.229281425476074,21.201252937316895
