mode,load,0_resnet18-16,1_resnet18-16
mig,0.1,0.011444091796875,0.0095367431640625
mig,0.2,0.010967254638671875,0.011205673217773438
mig,0.3,0.010967254638671875,0.010967254638671875
mig,0.4,0.009775161743164062,0.010013580322265625
mig,0.5,0.010013580322265625,0.008821487426757812
mig,0.6,0.00858306884765625,0.009775161743164062
mig,0.7,0.00858306884765625,0.008821487426757812
mig,0.8,0.00762939453125,0.009059906005859375
mig,0.9,0.008821487426757812,0.008344650268554688
mig,1.0,0.009775161743164062,0.010013580322265625
