mode,load,0_vgg19-2,1_mobilenet_v2-4,2_vgg11-8
tie-breaker,1.0,292.9861376449567,537.4397966664917,1776.5194236395248
tie-breaker,1.0,293.71930682778793,540.577520465515,1782.0799185515034
tie-breaker,1.0,311.4118094191853,544.7355349033782,1745.0765914904773
tie-breaker,1.0,293.8312830168167,540.2234369005254,1792.7258317652445
