mode,load,0_vgg19-2,1_mobilenet_v2-4,2_vgg11-8
tie-breaker,1.0,8.332252502441406,9.267091751098633,5.360603332519531
tie-breaker,1.0,8.326292037963867,8.965730667114258,5.454540252685547
tie-breaker,1.0,7.834911346435547,9.127140045166016,5.249261856079102
tie-breaker,1.0,8.267641067504883,9.027719497680664,5.249261856079102
