mode,load,0_densenet161-32,1_resnet34-2,2_vgg16-8
mps-uncap,0.6,95.33119201660156,57.141017913818395,15.167236328125
mig,0.6,201.18064880371094,11.096954345703125,61.553001403808594
mps-uncap,0.7,118.55626106262208,210.95895767211914,16.385436058044434
mig,0.7,285.736083984375,14.991402626037598,82.95083045959473
mps-uncap,0.8,144.58525180816656,11805.123090744019,17.998456954956055
mig,0.8,369.514036178589,20.94888687133789,105.98936080932619
mps-uncap,0.9,183.1599950790405,28261.89985275269,20.753955841064453
mig,0.9,600.1920700073242,35.32400131225586,243.76554489135742
mps-uncap,1.0,316.4395570755006,37117.459654808044,25.94149112701416
mig,1.0,2306.654691696167,1794.9864864349365,885.8086347579956
mps-uncap,1.1,565.3699398040773,46655.30707836151,26.257753372192383
mig,1.1,4993.483567237855,7732.161283493042,6749.579429626465
mps-uncap,1.2,6838.331341743469,54630.595111846924,29.748201370239258
mig,1.2,13598.39472770691,14974.956560134888,12491.247177124023
mps-uncap,1.3,15114.346885681152,56244.587898254395,36.526012420654304
mig,1.3,16366.920948028564,20136.55116558075,18880.892372131344
