mode,load,0_mobilenet_v3_small-8,1_mobilenet_v3_small-8,2_mobilenet_v3_small-8,3_mobilenet_v3_small-8
mig,0.1,347.6032643263866,331.9754622309465,341.39104336950464,240.74420165559397
mig,0.2,660.4508496833948,656.8454214247639,665.700686969272,482.1979677326542
mig,0.3,1006.2869895696839,1000.2626613147831,996.0866222746678,711.9564349294272
mig,0.4,1315.3502105627763,1320.552183380446,1328.2557052294476,992.3992501068907
mig,0.5,1681.301126791403,1662.691009581022,1680.5070731139458,1215.6422189631085
mig,0.6,1982.6282186474525,1979.914777030135,2019.224231683508,1432.347733471833
mig,0.7,2359.111601463325,2292.735488615851,2255.5070173607555,1658.1270146287277
mig,0.8,2600.282084766912,2593.339202343197,2650.3900691695817,1943.0944864896078
mig,0.9,2944.221715439684,2916.7425727614414,2893.73771556387,2184.511645197673
mig,1.0,3295.4020401215867,3242.1291792545417,3231.8222072905323,2440.3288734913085
