mode,load,0_mobilenet_v3_small-8,1_mobilenet_v3_small-8,2_mobilenet_v3_small-8,3_mobilenet_v3_small-8
mig,0.1,2.357006072998047,2.3567676544189453,2.384185791015625,3.1626224517822266
mig,0.2,2.3517608642578125,2.2628307342529297,2.3343563079833984,3.1604766845703125
mig,0.3,2.2649765014648438,2.311229705810547,2.2783279418945312,3.1630992889404297
mig,0.4,2.3262500762939453,2.302408218383789,2.3086071014404297,3.164052963256836
mig,0.5,2.3050308227539062,2.2687911987304688,2.3288726806640625,3.1554698944091797
mig,0.6,2.26593017578125,2.3293495178222656,2.2971630096435547,3.1592845916748047
mig,0.7,2.315521240234375,2.313852310180664,2.2819042205810547,3.1518936157226562
mig,0.8,2.3064613342285156,2.282857894897461,2.249002456665039,3.156423568725586
mig,0.9,2.3267269134521484,2.2771358489990234,2.3107528686523438,3.1571388244628906
mig,1.0,2.3145675659179688,2.233743667602539,2.28118896484375,3.1571388244628906
