mode,load,0_resnet101-16,1_densenet201-16,2_inception_v3-2
mps-uncap,1.0,0.000476837158203125,0.000476837158203125,0.004291534423828125
mig,1.0,0.000476837158203125,0.0011920928955078125,0.000476837158203125
