mode,load,0_efficientnet_b5-32,1_densenet121-8,2_efficientnet_b6-8
mps-uncap,1.0,764.6651694119766,242.45483649517348,173.88989648477406
mig,1.0,514.290105379319,543.0255810270527,224.4044540139795
