mode,load,0_efficientnet_b5-32,1_densenet121-8,2_efficientnet_b6-8
mps-uncap,1.0,42.80357360839844,36.24262809753418,48.48349094390869
mig,1.0,62.5607967376709,14.873075485229494,35.8539342880249
