mode,load,0_mobilenet_v3_small-4,1_mobilenet_v3_small-2,2_resnet50-4
mps-uncap,1.0,4.413843154907227,4.246234893798828,5.262136459350586
mig,1.0,4.180908203125,4.181861877441406,8.109831809997559
