mode,load,0_mobilenet_v3_small-4,1_mobilenet_v3_small-2,2_resnet50-4
mps-uncap,1.0,10.803699493408203,14.627456665039062,17.43602752685547
mig,1.0,14.836788177490234,13.557672500610352,21.014928817749023
