mode,load,0_mobilenet_v3_small-4,1_mobilenet_v3_small-2,2_resnet50-4
mps-uncap,1.0,0.007867813110351562,0.017404556274414062,0.0059604644775390625
mig,1.0,0.004291534423828125,0.0057220458984375,0.000476837158203125
