mode,load,0_mobilenet_v3_small-4,1_mobilenet_v3_small-2,2_resnet50-4
mps-uncap,1.0,929.7023272877714,478.18135642831714,802.7799360489886
mig,1.0,975.4220117041921,487.50560887538086,536.8765502564768
