mode,load,0_vgg13-32,1_efficientnet_b6-4,2_vgg11-16
mps-uncap,1.0,24.971961975097656,183.77184867858887,21.899890899658203
mig,1.0,37.19067573547363,20.573854446411133,21.294593811035156
