mode,load,0_vgg13-32,1_efficientnet_b6-4,2_vgg11-16
mps-uncap,1.0,21.185636520385742,17.88640022277832,10.068416595458984
mig,1.0,35.065412521362305,18.964290618896484,19.99187469482422
