mode,load,0_vgg13-32,1_efficientnet_b6-4,2_vgg11-16
mps-uncap,1.0,1328.8906399867562,23.501211289717673,846.2505807204853
mig,1.0,874.3637195698947,196.89219009254663,762.3616087157548
