mode,load,0_vgg13-32,1_efficientnet_b6-4,2_vgg11-16
mps-uncap,1.0,25.930566787719737,190.01011848449707,23.04053544998169
mig,1.0,39.60404396057129,21.365535259246826,23.205995559692383
