mode,load,0_alexnet-2,1_densenet121-32,2_vgg16-16
mps-uncap,0.8,4.201412200927734,57.88540840148926,19.567012786865234
mps-uncap,0.9,5.978584289550781,65.52243232727051,24.40667152404785
mps-uncap,1.0,116.67728424072266,1144.5481777191162,379.4686794281006
mps-uncap,0.5,1.2657642364501953,24.386167526245117,10.250449180603027
mps-uncap,0.6,1.9867420196533203,32.63866901397705,12.759923934936523
mps-uncap,0.7,2.6216506958007812,42.543888092041016,14.804363250732422
mps-uncap,0.1,1.1752843856811523,16.103625297546387,9.366273880004883
mps-uncap,0.2,1.1525154113769531,16.990184783935547,9.444952011108398
mps-uncap,0.3,1.1489391326904297,17.789840698242188,9.504199028015137
mps-uncap,0.4,1.1751651763916016,21.971702575683594,9.647727012634277
