mode,load,0_alexnet-2,1_densenet121-32,2_vgg16-16
mps-uncap,0.8,0.0073909759521484375,0.013113021850585938,0.01049041748046875
mps-uncap,0.9,0.008821487426757812,0.013589859008789062,0.01049041748046875
mps-uncap,1.0,0.00858306884765625,0.015974044799804688,0.012159347534179688
mps-uncap,0.5,0.0073909759521484375,0.013828277587890625,0.010728836059570312
mps-uncap,0.6,0.0073909759521484375,0.013589859008789062,0.011444091796875
mps-uncap,0.7,0.007867813110351562,0.012636184692382812,0.01049041748046875
mps-uncap,0.1,0.01049041748046875,0.0133514404296875,0.013828277587890625
mps-uncap,0.2,0.0095367431640625,0.022411346435546875,0.011920928955078125
mps-uncap,0.3,0.009775161743164062,0.020503997802734375,0.010728836059570312
mps-uncap,0.4,0.008821487426757812,0.014781951904296875,0.011444091796875
