mode,load,0_squeezenet1_1-16,1_resnet101-2,2_vgg13-16
mps-uncap,0.6,12.435340881347658,41.13235473632813,15.973424911499022
mig,0.6,13.595342636108398,29.266881942749038,101.62007808685301
mps-uncap,0.7,17.123818397521973,68.69697570800781,18.08929443359375
mig,0.7,17.7398681640625,38.93027305603027,122.31678962707521
mps-uncap,0.8,25.77972412109375,332.2683334350586,19.28093433380127
mig,0.8,27.542686462402344,59.3874454498291,176.72302722930908
mps-uncap,0.9,39.737367630004876,6559.000134468079,19.233155250549316
mig,0.9,184.80863571167012,113.86895179748535,200.92003345489502
mps-uncap,1.0,91.55058860778821,17322.147130966187,19.95668411254883
mig,1.0,1536.6527318954468,646.6013193130493,1102.8672456741333
mps-uncap,1.1,673.1279850006104,25202.80330181122,20.921707153320312
mig,1.1,6380.601859092713,7258.25297832489,7584.487986564636
mps-uncap,1.2,11844.213151931763,31805.39255142212,22.889161109924316
mig,1.2,12227.57287025452,13304.558253288269,15263.830780982975
mps-uncap,1.3,21224.564743041992,35978.73640060425,25.51853656768799
mig,1.3,17447.32913970947,18187.657499313358,18903.83222103119
