mode,load,0_squeezenet1_1-16,1_resnet101-2,2_vgg13-16
mps-uncap,0.6,8.0103874206543,30.020761489868168,5.672216415405272
mig,0.6,9.209871292114258,19.830989837646484,70.9203004837036
mps-uncap,0.7,12.69519329071045,57.50107765197754,7.7991485595703125
mig,0.7,13.495540618896484,29.712104797363278,92.7900314331055
mps-uncap,0.8,21.468520164489746,321.21686935424805,8.80005359649659
mig,0.8,23.36354255676269,50.058841705322266,146.74606323242188
mps-uncap,0.9,35.810661315917955,6542.889714241028,8.813333511352536
mig,0.9,180.32784461975103,104.50434684753418,170.6040859222412
mps-uncap,1.0,87.72025108337402,17312.265157699585,9.489440917968754
mig,1.0,1532.6172351837158,636.9798183441162,1073.0309963226318
mps-uncap,1.1,669.3501472473145,25189.53301906586,10.350942611694336
mig,1.1,6376.4050006866455,7248.95293712616,7554.223728179932
mps-uncap,1.2,11840.480232238773,31793.44687461853,12.408947944641117
mig,1.2,12223.385429382328,13295.327281951904,15233.993434906008
mps-uncap,1.3,21221.102476119995,35967.94319152832,14.835691452026365
mig,1.3,17443.485498428345,18178.299713134766,18873.977303504944
