mode,load,0_squeezenet1_1-16,1_resnet101-2,2_vgg13-16
mps-uncap,0.6,2.1479129791259766,8.937835693359375,8.624553680419922
mig,0.6,3.6797523498535156,9.185075759887695,29.244184494018555
mps-uncap,0.7,2.134561538696289,8.778572082519531,8.466005325317383
mig,0.7,3.677845001220703,9.020090103149414,29.217958450317383
mps-uncap,0.8,2.1626949310302734,8.819580078125,8.724451065063477
mig,0.8,3.671884536743164,9.084701538085938,29.227495193481445
mps-uncap,0.9,2.328157424926758,8.828878402709961,8.695602416992188
mig,0.9,3.679037094116211,9.151697158813477,29.241085052490234
mps-uncap,1.0,2.306699752807617,8.905887603759766,8.880615234375
mig,1.0,3.693819046020508,9.176015853881836,29.369115829467773
mps-uncap,1.1,2.372264862060547,8.90350341796875,9.29880142211914
mig,1.1,3.8373470306396484,9.176969528198242,29.39772605895996
mps-uncap,1.2,2.4149417877197266,8.87298583984375,9.395837783813477
mig,1.2,3.8394927978515625,9.093523025512695,29.45232391357422
mps-uncap,1.3,2.3293495178222656,8.812189102172852,9.402275085449219
mig,1.3,3.6852359771728516,9.0484619140625,29.29067611694336
