mode,load,0_squeezenet1_1-16,1_resnet101-2,2_vgg13-16
mps-uncap,0.6,2257.448894629326,128.49529566133978,304.5355535909701
mig,0.6,2256.312508705893,127.41162705737585,330.92267374476353
mps-uncap,0.7,2655.916881930825,150.34321213133168,372.4877369493905
mig,0.7,2633.553779345749,147.47483103047776,378.39876124376366
mps-uncap,0.8,3010.094966295675,169.0276824325965,445.6497045746635
mig,0.8,3042.6496695395526,169.21791165460388,426.26206862545666
mps-uncap,0.9,3433.463235945355,176.8224899084584,462.06379403292186
mig,0.9,3453.630089553874,193.44701606008604,460.94454326144114
mps-uncap,1.0,3834.0461843149797,167.62588782068434,532.9560613632304
mig,1.0,3854.4748546765254,209.55206030829436,519.4956094594871
mps-uncap,1.1,4111.050681514089,164.52118883445675,570.1357608216077
mig,1.1,3874.9524111078085,213.45059425822802,531.723901154059
mps-uncap,1.2,3926.7689620996457,158.04327258011156,638.6003559695106
mig,1.2,3867.1943581642486,215.62537260577986,531.8755495863013
mps-uncap,1.3,3715.667863226331,152.57541403109659,701.4080861506894
mig,1.3,3841.6349406993495,215.78498091189604,531.0875871302073
