mode,load,0_squeezenet1_1-16,1_resnet101-2,2_vgg13-16
mps-uncap,0.6,11.89326286315917,22.72226810455322,14.015111923217773
mig,0.6,6.652355194091797,11.032028198242188,33.190124034881585
mps-uncap,0.7,11.827826499938965,23.82718324661257,14.030208587646484
mig,0.7,6.5848541259765625,10.331048965454103,33.10206413269043
mps-uncap,0.8,11.69431209564209,25.719251632690405,14.091923236846922
mig,0.8,6.588275432586681,10.1601243019104,33.11438322067261
mps-uncap,0.9,11.392388343811035,25.699460506439205,13.746378421783445
mig,0.9,6.306362152099609,10.094642639160158,32.375266551971436
mps-uncap,1.0,11.23077392578125,27.60334014892579,13.45593214035034
mig,1.0,5.953240394592286,10.412514209747314,32.34023571014404
mps-uncap,1.1,11.18049621582031,28.893237113952633,12.67099380493164
mig,1.1,5.147049427032471,9.922974109649655,32.083940505981445
mps-uncap,1.2,11.241593360900879,29.985842704772942,12.415535449981697
mig,1.2,5.157232284545898,9.711096286773683,32.164826393127434
mps-uncap,1.3,11.409301757812496,30.599923133850098,12.60852336883545
mig,1.3,6.005568504333496,9.873666763305664,32.39114999771119
