mode,load,0_squeezenet1_1-16,1_resnet101-2,2_vgg13-16
mps-uncap,0.6,18.573760986328125,30.633926391601562,15.740633010864258
mig,0.6,16.228199005126953,21.049022674560547,34.13581848144531
mps-uncap,0.7,17.51232147216797,31.16154670715332,18.73159408569336
mig,0.7,11.535406112670898,15.590906143188477,33.872365951538086
mps-uncap,0.8,16.697406768798828,32.76419639587402,15.828371047973633
mig,0.8,15.562057495117188,20.7977294921875,34.87539291381836
mps-uncap,0.9,17.937421798706055,32.18555450439453,18.389225006103516
mig,0.9,11.507987976074219,17.340898513793945,34.25335884094238
mps-uncap,1.0,16.56198501586914,33.623695373535156,16.54529571533203
mig,1.0,17.734289169311523,22.305965423583984,34.174442291259766
mps-uncap,1.1,19.94800567626953,33.87784957885742,18.818378448486328
mig,1.1,13.892412185668945,21.617650985717773,35.92181205749512
mps-uncap,1.2,16.23225212097168,32.53746032714844,16.19124412536621
mig,1.2,18.181324005126953,22.203922271728516,33.92386436462402
mps-uncap,1.3,18.067359924316406,34.86227989196777,17.79007911682129
mig,1.3,14.131784439086914,17.258167266845703,35.50243377685547
