mode,load,0_squeezenet1_1-16,1_resnet101-2,2_vgg13-16
mps-uncap,0.6,2.6683807373046875,9.451031684875488,10.106325149536133
mig,0.6,3.9293766021728516,9.460926055908203,29.59001064300537
mps-uncap,0.7,2.6831626892089844,9.313702583312988,10.173797607421875
mig,0.7,3.9463043212890625,9.244918823242188,29.636144638061523
mps-uncap,0.8,2.72369384765625,9.375572204589844,10.25533676147461
mig,0.8,3.957033157348633,9.284734725952148,29.6475887298584
mps-uncap,0.9,2.7337074279785156,9.394049644470215,10.267257690429688
mig,0.9,3.9720535278320312,9.354352951049805,29.723167419433594
mps-uncap,1.0,2.753734588623047,9.595155715942383,10.335803031921387
mig,1.0,4.001379013061523,9.32455062866211,29.84297275543213
mps-uncap,1.1,2.7616024017333984,9.547710418701172,10.378837585449219
mig,1.1,4.017353057861328,9.313583374023438,29.905080795288086
mps-uncap,1.2,2.7887821197509766,9.601593017578125,10.381460189819336
mig,1.2,4.024267196655273,9.23776626586914,29.894590377807617
mps-uncap,1.3,2.821207046508789,9.579896926879883,10.465621948242188
mig,1.3,4.010438919067383,9.21630859375,29.899239540100098
