mode,load,0_squeezenet1_1-16,1_resnet101-2,2_vgg13-16
mps-uncap,0.6,52.68216133117676,98.07467460632324,28.604745864868164
mig,0.6,44.4493293762207,78.87029647827148,268.721342086792
mps-uncap,0.7,84.31196212768555,157.50503540039062,42.06204414367676
mig,0.7,64.2695426940918,111.44733428955078,330.7819366455078
mps-uncap,0.8,88.55938911437988,809.096097946167,38.53774070739746
mig,0.8,117.706298828125,162.98627853393555,400.11119842529297
mps-uncap,0.9,116.41454696655273,7630.504131317139,29.585599899291992
mig,0.9,401.54314041137695,263.9312744140625,374.4800090789795
mps-uncap,1.0,193.38560104370117,19523.962020874023,43.85209083557129
mig,1.0,1705.8072090148926,913.5715961456299,1269.6449756622314
mps-uncap,1.1,964.6151065826416,28376.937866210938,79.75959777832031
mig,1.1,6812.3602867126465,7884.459733963013,8562.86597251892
mps-uncap,1.2,13556.93769454956,35464.41292762756,59.00740623474121
mig,1.2,13167.85478591919,14585.338115692139,16274.317979812622
mps-uncap,1.3,23551.86915397644,40262.593269348145,55.932044982910156
mig,1.3,19515.172958374023,20328.089475631714,20769.54960823059
