mode,load,0_squeezenet1_1-16,1_resnet101-2,2_vgg13-16
mps-uncap,0.6,3.9949417114257812,17.788410186767578,10.263681411743164
mig,0.6,6.002187728881836,13.206958770751953,46.71359062194824
mps-uncap,0.7,5.202651023864746,26.313424110412598,10.388612747192383
mig,0.7,7.122039794921875,16.06464385986328,52.01292037963867
mps-uncap,0.8,7.6760053634643555,100.2204418182373,10.493636131286621
mig,0.8,9.70911979675293,21.31783962249756,69.69678401947021
mps-uncap,0.9,11.845111846923828,2903.9231538772583,10.471940040588379
mig,0.9,15.935897827148438,40.016889572143555,86.94350719451904
mps-uncap,1.0,26.5653133392334,9627.809762954712,10.607600212097168
mig,1.0,224.05195236206055,323.8067626953125,653.9231538772583
mps-uncap,1.1,380.44118881225586,14203.099966049194,10.652303695678711
mig,1.1,2528.8851261138916,3466.494917869568,5096.23658657074
mps-uncap,1.2,6958.430528640747,17887.453079223633,10.717153549194336
mig,1.2,5659.093618392944,8056.017994880676,8249.55403804779
mps-uncap,1.3,12587.708711624146,20539.99924659729,11.044979095458984
mig,1.3,8702.527523040771,10168.915033340454,9823.521614074707
