mode,load,0_densenet169-8,1_efficientnet_b7-8,2_resnet101-4
mps-uncap,0.8,308.61510510623424,254.8476058163585,278.45417856055064
mps-uncap,0.9,351.01290432124017,290.02814101972086,308.3305896319006
mps-uncap,1.0,387.14382267579026,316.7528682195017,337.78308744018375
mps-uncap,0.5,187.92048097664028,163.39590691731578,171.7222825309551
mps-uncap,0.6,235.99013250510126,182.89052563239008,204.10211126720702
mps-uncap,0.7,270.5532542644664,231.21704592405518,238.6781487175223
mps-uncap,0.1,35.5631762081134,33.5952707550184,34.58690837582497
mps-uncap,0.2,77.24791489685002,68.52037689833651,69.31016808823763
mps-uncap,0.3,108.16101675105128,91.45074969924264,99.02213725188172
mps-uncap,0.4,155.2735585307959,128.5987508669941,135.8005079605692
