mode,load,0_densenet169-8,1_efficientnet_b7-8,2_resnet101-4
mps-uncap,0.8,85.23999691009458,150.8940935134888,61.06061458587646
mps-uncap,0.9,172.6922416687013,339.81065750122076,223.058636188507
mps-uncap,1.0,589.5380210876467,613.0959892272945,288.64650964736967
mps-uncap,0.5,53.428957462310784,68.52052688598634,30.993049144744923
mps-uncap,0.6,52.16432571411132,73.33037853240972,40.71027040481573
mps-uncap,0.7,72.60065078735343,96.90176010131836,56.98314666748032
mps-uncap,0.1,38.811912536621094,40.949866771698,21.39351606369018
mps-uncap,0.2,42.27715015411377,46.74884796142574,23.519732952117913
mps-uncap,0.3,44.16299104690552,49.4466781616211,26.25198364257811
mps-uncap,0.4,44.698724746704094,61.34500503540037,30.822381973266598
