mode,load,0_densenet169-4,1_mobilenet_v3_large-16,2_squeezenet1_0-8
mps-uncap,0.8,211.7011070251465,49.37238693237302,14.621496200561523
mps-uncap,0.9,422.0098018646241,316.38379096984863,97.81045913696288
mps-uncap,1.0,10173.412775993347,6861.951971054077,431.3410043716431
mps-uncap,0.5,47.96345233917239,12.902402877807617,7.180571556091309
mps-uncap,0.6,61.2490177154541,17.563509941101074,7.371568679809569
mps-uncap,0.7,82.41751194000244,26.71658992767334,10.060882568359377
mps-uncap,0.1,31.81390762329102,16.82844161987304,5.349278450012207
mps-uncap,0.2,31.802344322204593,16.494369506835948,6.619405746459961
mps-uncap,0.3,32.52105712890625,14.690971374511719,6.3305139541625985
mps-uncap,0.4,38.43536376953125,13.072729110717777,6.559181213378906
