mode,load,0_densenet169-4,1_mobilenet_v3_large-16,2_squeezenet1_0-8
mps-uncap,0.8,16.973018646240234,4.8427581787109375,1.8758773803710938
mps-uncap,0.9,17.0290470123291,4.990816116333008,1.9936561584472656
mps-uncap,1.0,17.411470413208008,5.091428756713867,2.3527145385742188
mps-uncap,0.5,16.782283782958984,4.833698272705078,1.8680095672607422
mps-uncap,0.6,16.907930374145508,4.867792129516602,1.8398761749267578
mps-uncap,0.7,16.62302017211914,4.821538925170898,1.8508434295654297
mps-uncap,0.1,17.03667640686035,4.963397979736328,2.4535655975341797
mps-uncap,0.2,16.85333251953125,4.845619201660156,2.0825862884521484
mps-uncap,0.3,16.735076904296875,4.822969436645508,1.9245147705078125
mps-uncap,0.4,16.605854034423828,4.87065315246582,1.8720626831054688
