mode,load,0_densenet169-4,1_mobilenet_v3_large-16,2_squeezenet1_0-8
mps-uncap,0.8,188.28729532245688,2457.901728319223,2089.403710399115
mps-uncap,0.9,208.76339715151443,2765.275613126324,2351.3964036509205
mps-uncap,1.0,198.75375756101909,2664.1356571876863,2651.241670174044
mps-uncap,0.5,113.21103953118416,1529.9526241989533,1330.0573184055859
mps-uncap,0.6,140.67209546845868,1860.7902105670023,1657.2228766243836
mps-uncap,0.7,165.71798961111483,2163.4574977064103,1896.3915964394266
mps-uncap,0.1,24.128240394864047,321.23005514027426,250.18765446410654
mps-uncap,0.2,45.41720261295562,609.9127666592618,527.6565973039051
mps-uncap,0.3,70.88462015862937,955.2788623370428,797.6941424440173
mps-uncap,0.4,98.73434141191456,1237.7967711630017,1050.2694871818721
