mode,load,0_densenet161-4,1_inception_v3-4,2_vgg19-16
mps-uncap,0.8,57.03270342958747,109.30208643395953,992.1762419625422
mps-uncap,0.9,61.93316077316185,122.74496204997075,1082.7261532985433
mps-uncap,1.0,70.75905462569075,133.1271941387683,1129.641908592017
mps-uncap,0.5,34.95564882099452,71.82071370978997,614.4853267440319
mps-uncap,0.6,43.219284862089694,78.32535728452164,757.4240676675437
mps-uncap,0.7,50.42695691837874,95.0258486515931,872.5055203000276
mps-uncap,0.1,6.969802451937753,15.277814451623055,128.08949647394815
mps-uncap,0.2,15.102442229660817,26.115671095531795,248.28058531482068
mps-uncap,0.3,21.069942553737295,41.2147545470398,364.10256726666006
mps-uncap,0.4,28.69611263371023,57.27087930971867,473.96395289760994
