mode,load,0_densenet161-4,1_inception_v3-4,2_vgg19-16
mps-uncap,0.8,42.63567924499512,24.756431579589844,13.685464859008789
mps-uncap,0.9,55.04608154296875,24.35600757598877,13.906717300415039
mps-uncap,1.0,49.20697212219238,29.12294864654541,14.130473136901855
mps-uncap,0.5,21.645665168762207,13.833761215209961,12.827515602111816
mps-uncap,0.6,25.43926239013672,16.154050827026367,13.083457946777344
mps-uncap,0.7,32.46414661407471,17.305374145507812,13.375163078308105
mps-uncap,0.1,29.959678649902344,18.888473510742188,13.236165046691895
mps-uncap,0.2,26.260972023010254,17.55833625793457,13.10873031616211
mps-uncap,0.3,22.10211753845215,15.570402145385742,13.07058334350586
mps-uncap,0.4,22.62401580810547,14.117002487182617,13.133764266967773
