mode,load,0_densenet161-4,1_inception_v3-4,2_vgg19-16
mps-uncap,0.8,126.33776664733887,107.06124305725093,103.38044166564943
mps-uncap,0.9,514.1701698303224,117.07038879394531,600.4833698272708
mps-uncap,1.0,385.7275009155275,485.66498756408686,4736.5869760513315
mps-uncap,0.5,50.885868072509766,25.68068504333496,32.21969604492188
mps-uncap,0.6,52.51460075378419,37.897348403930664,43.260955810546875
mps-uncap,0.7,97.56307601928711,43.13006401062012,64.95783329010011
mps-uncap,0.1,39.34793472290039,22.67575263977051,19.312000274658207
mps-uncap,0.2,33.62739086151123,24.317502975463867,21.85654640197754
mps-uncap,0.3,36.38696670532228,24.776697158813477,25.273561477661133
mps-uncap,0.4,43.006372451782234,23.38485717773438,26.497602462768555
