mode,load,0_efficientnet_b7-32,1_mobilenet_v2-2,2_vgg19-8
mps-uncap,0.6,325.55150985717773,341.9368267059326,61.68365478515625
mig,0.6,762.4118328094482,38.82288932800293,259.0203285217285
mps-uncap,0.7,428.48825454711914,509.77063179016113,61.45763397216797
mig,0.7,1020.3559398651123,50.43482780456543,173.980712890625
mps-uncap,0.8,357.921838760376,11855.63850402832,87.68391609191895
mig,0.8,1442.1322345733643,57.126760482788086,300.8878231048584
mps-uncap,0.9,414.32738304138184,27245.76210975647,60.190439224243164
mig,0.9,2546.926498413086,129.87613677978516,515.735387802124
mps-uncap,1.0,644.4294452667236,41305.93800544739,104.54082489013672
mig,1.0,1617.7449226379395,1998.124361038208,1640.7597064971924
mps-uncap,1.1,990.5846118927002,47781.85987472534,140.0597095489502
mig,1.1,18018.17488670349,6844.800233840942,9749.591588973999
mps-uncap,1.2,946.7406272888184,56668.5426235199,132.41887092590332
mig,1.2,14432.822227478027,16120.42212486267,12754.515886306763
mps-uncap,1.3,2968.823194503784,65056.07795715332,167.59324073791504
mig,1.3,21843.870639801025,19734.426975250244,21314.348936080933
