mode,load,0_efficientnet_b7-32,1_mobilenet_v2-2,2_vgg19-8
mps-uncap,0.6,131.69026374816895,90.97084999084477,20.046067237854004
mig,0.6,453.94039154052734,12.813067436218276,75.63533782958976
mps-uncap,0.7,152.59056091308605,292.165493965149,21.345090866088864
mig,0.7,459.0373516082764,17.602443695068366,89.69540596008302
mps-uncap,0.8,180.0397157669067,10514.90089893341,25.77159404754639
mig,0.8,668.6119079589846,22.349929809570305,127.4409294128418
mps-uncap,0.9,210.4274034500122,25067.253494262695,29.06234264373779
mig,0.9,1699.4678258895874,64.33029174804702,245.71688175201416
mps-uncap,1.0,310.3776454925537,36882.67335891723,35.37745475769044
mig,1.0,1027.244210243225,1785.4285717010498,1374.8682498931885
mps-uncap,1.1,522.4218368530276,42226.85947418214,43.65272521972658
mig,1.1,16071.515846252441,6209.066963195802,8675.792145729063
mps-uncap,1.2,576.3114929199219,50260.26334762573,52.00810432434082
mig,1.2,13554.206752777101,14607.73620605469,11303.649425506592
mps-uncap,1.3,2363.6852741241455,58301.37701034546,62.16518878936769
mig,1.3,19877.986001968384,17646.89667224884,19045.642757415775
