mode,load,0_efficientnet_b7-32,1_mobilenet_v2-2,2_vgg19-8
mps-uncap,0.6,175.83343097036908,291.1967569396588,216.6713914153973
mig,0.6,173.25890245656615,294.57469488480945,211.78336827683063
mps-uncap,0.7,199.28269236539688,343.452967564286,244.75689525247492
mig,0.7,201.45415203075223,343.3171036507118,244.21460180196502
mps-uncap,0.8,223.1595933009168,338.7587969968079,281.82029333847294
mig,0.8,235.05140648701348,381.4476964192685,277.86620827930454
mps-uncap,0.9,257.7832671845934,306.3550613250758,313.690471343587
mig,0.9,268.605614829567,445.3752281910667,318.0026045563483
mps-uncap,1.0,304.3896102844548,270.03800138327483,344.83097176469767
mig,1.0,267.9583789113168,480.8711258377946,351.84868871342076
mps-uncap,1.1,313.64949072842563,250.87012563864832,385.4911280653566
mig,1.1,288.8225984256474,490.65554402744584,353.91523180595993
mps-uncap,1.2,340.42004761128135,218.9359172796559,419.72146388459345
mig,1.2,289.1846040155532,483.4436302448048,354.41982336305034
mps-uncap,1.3,365.8936893085623,177.33752004575652,462.00429528894864
mig,1.3,288.2439090911689,485.2155699863007,354.0198082716573
