mode,load,0_efficientnet_b7-32,1_mobilenet_v2-2,2_vgg19-8
mps-uncap,0.6,64.79001045227051,84.80172157287598,8.031845092773445
mig,0.6,343.65034103393555,8.722591400146493,53.2670497894287
mps-uncap,0.7,81.67281150817871,286.70792579650885,9.489202499389647
mig,0.7,349.6437072753908,13.519477844238281,66.91675186157228
mps-uncap,0.8,106.9120645523071,10509.423065185545,13.148784637451174
mig,0.8,557.845211029053,18.25690269470215,105.03616333007815
mps-uncap,0.9,138.86797428131104,25062.19530105591,15.568161010742188
mig,0.9,1588.271951675415,60.2229118347168,223.04534912109384
mps-uncap,1.0,232.72552490234384,36876.11298561096,22.27745056152344
mig,1.0,916.3888931274413,1781.3135623931887,1352.180576324463
mps-uncap,1.1,461.035442352295,42208.45918655396,30.97326755523682
mig,1.1,15958.616924285892,6204.959511756897,8652.09641456604
mps-uncap,1.2,490.0321960449219,50252.80666351318,39.57209587097168
mig,1.2,13445.327329635622,14603.594064712524,11281.363248825073
mps-uncap,1.3,2280.6780576705933,58295.316743850715,49.01936054229737
mig,1.3,19765.417408943176,17642.750668525696,19023.294973373417
