mode,load,0_densenet161-2,1_densenet201-16,2_efficientnet_b6-8
mps-uncap,0.8,22.975683212280273,30.15756607055664,23.021936416625977
mps-uncap,0.9,22.07183837890625,29.432296752929688,23.253440856933594
mps-uncap,1.0,23.58102798461914,29.277324676513672,23.95939826965332
mps-uncap,0.5,25.933504104614258,28.354644775390625,23.96249771118164
mps-uncap,0.6,20.949840545654297,29.74700927734375,22.68195152282715
mps-uncap,0.7,22.73106575012207,30.829191207885742,23.77152442932129
mps-uncap,0.1,26.863813400268555,32.8371524810791,28.66339683532715
mps-uncap,0.2,26.1383056640625,32.90414810180664,28.785228729248047
mps-uncap,0.3,26.97920799255371,32.52220153808594,28.377294540405273
mps-uncap,0.4,26.594161987304688,28.61785888671875,27.666807174682617
