mode,load,0_densenet161-2,1_densenet201-16,2_efficientnet_b6-8
mps-uncap,0.8,19.527435302734375,38.08331489562988,29.369354248046875
mps-uncap,0.9,37.83416748046875,63.6594295501709,54.14140224456787
mps-uncap,1.0,71.74396514892578,109.26151275634766,328.40538024902344
mps-uncap,0.5,16.47019386291504,22.574186325073242,18.038272857666016
mps-uncap,0.6,16.081571578979492,25.462627410888672,19.858121871948242
mps-uncap,0.7,19.084692001342773,28.429627418518066,20.391464233398438
mps-uncap,0.1,23.64373207092285,22.791624069213867,24.348974227905273
mps-uncap,0.2,17.88187026977539,21.92831039428711,18.6007022857666
mps-uncap,0.3,17.745375633239746,21.627187728881836,18.105268478393555
mps-uncap,0.4,17.13430881500244,21.22318744659424,18.135786056518555
