mode,load,0_mobilenet_v2-32,1_resnet101-32,2_vgg19-32
mps-uncap,0.8,5.557060241699219,17.90642738342285,20.281076431274414
mps-uncap,0.9,5.560159683227539,17.996788024902344,20.23935317993164
mps-uncap,1.0,5.571126937866211,18.661975860595703,20.283222198486328
mps-uncap,0.5,5.553483963012695,17.951488494873047,20.220279693603516
mps-uncap,0.6,5.546808242797852,17.91071891784668,20.235061645507812
mps-uncap,0.7,5.549907684326172,17.88616180419922,20.238161087036133
mps-uncap,0.1,5.534648895263672,17.957687377929688,20.17998695373535
mps-uncap,0.2,5.552768707275391,17.904996871948242,20.156145095825195
mps-uncap,0.3,5.542755126953125,17.945051193237305,20.1568603515625
mps-uncap,0.4,5.556583404541016,17.899274826049805,20.193099975585938
