mode,load,0_mobilenet_v2-32,1_vgg16-16,2_vgg16-16
mps-uncap,0.8,68.35360527038576,63.691234588623054,62.2734546661377
mps-uncap,0.9,148.46200942993167,121.87867164611815,142.3584222793579
mps-uncap,1.0,2027.1324634552,401.43370628356934,785.6374263763428
mps-uncap,0.5,24.84908103942871,22.371888160705566,25.111031532287598
mps-uncap,0.6,33.453130722045906,30.618095397949222,29.069185256958008
mps-uncap,0.7,48.79570007324219,47.80621528625489,40.647506713867195
mps-uncap,0.1,12.004947662353517,14.18271064758301,13.0335807800293
mps-uncap,0.2,13.734960556030273,15.587902069091802,14.968919754028322
mps-uncap,0.3,17.93053150177002,17.434883117675785,17.493844032287598
mps-uncap,0.4,21.07157707214356,20.409464836120605,20.77159881591797
