mode,load,0_mobilenet_v2-32,1_vgg16-16,2_vgg16-16
mps-uncap,0.8,5.538225173950195,9.287357330322266,9.289264678955078
mps-uncap,0.9,5.541563034057617,9.262323379516602,9.264707565307617
mps-uncap,1.0,5.864381790161133,9.740114212036133,11.043548583984375
mps-uncap,0.5,5.5141448974609375,9.237051010131836,9.225606918334961
mps-uncap,0.6,5.515336990356445,9.258031845092773,9.231805801391602
mps-uncap,0.7,5.518913269042969,9.275674819946289,9.240865707397461
mps-uncap,0.1,5.520343780517578,9.200334548950195,9.239435195922852
mps-uncap,0.2,5.500555038452148,9.196996688842773,9.22846794128418
mps-uncap,0.3,5.508661270141602,9.23919677734375,9.201288223266602
mps-uncap,0.4,5.514383316040039,9.244918823242188,9.241104125976562
