mode,load,0_mobilenet_v2-32,1_vgg16-16,2_vgg16-16
mps-uncap,0.8,5.561351776123047,9.320735931396484,9.33527946472168
mps-uncap,0.9,5.561590194702148,9.328603744506836,9.327411651611328
mps-uncap,1.0,5.87916374206543,10.756492614746094,11.63339614868164
mps-uncap,0.5,5.540132522583008,9.249687194824219,9.241342544555664
mps-uncap,0.6,5.527257919311523,9.292364120483398,9.244441986083984
mps-uncap,0.7,5.531549453735352,9.287357330322266,9.25302505493164
mps-uncap,0.1,5.5408477783203125,9.244918823242188,9.278535842895508
mps-uncap,0.2,5.517244338989258,9.219646453857422,9.255647659301758
mps-uncap,0.3,5.5217742919921875,9.296655654907227,9.224891662597656
mps-uncap,0.4,5.543708801269531,9.270668029785156,9.260177612304688
