mode,load,0_mobilenet_v2-32,1_vgg16-16,2_vgg16-16
mps-uncap,0.8,0.05841255187988281,6.521701812744141,4.546523094177246
mps-uncap,0.9,19.546985626220703,22.74167537689209,22.607922554016113
mps-uncap,1.0,608.7228059768677,178.64537239074707,352.5451421737671
mps-uncap,0.5,0.055789947509765625,0.05233287811279297,0.05269050598144531
mps-uncap,0.6,0.05364418029785156,0.04982948303222656,0.04744529724121094
mps-uncap,0.7,0.05435943603515625,0.05745887756347656,0.06079673767089844
mps-uncap,0.1,0.059604644775390625,0.05888938903808594,0.06198883056640625
mps-uncap,0.2,0.06318092346191406,0.05984306335449219,0.06103515625
mps-uncap,0.3,0.06258487701416016,0.056743621826171875,0.05793571472167969
mps-uncap,0.4,0.057697296142578125,0.05519390106201172,0.05602836608886719
