mode,load,0_mobilenet_v2-32,1_vgg16-16,2_vgg16-16
mps-uncap,0.8,18.239259719848633,16.95847511291504,17.150282859802246
mps-uncap,0.9,28.728723526000977,19.26589012145996,19.346952438354492
mps-uncap,1.0,37.313222885131836,20.99430561065674,21.059751510620117
mps-uncap,0.5,6.801128387451172,10.105013847351074,10.138988494873047
mps-uncap,0.6,9.996891021728516,12.328863143920898,11.919021606445312
mps-uncap,0.7,14.593362808227539,13.367891311645508,14.083385467529297
mps-uncap,0.1,6.204366683959961,9.315729141235352,9.346485137939453
mps-uncap,0.2,6.246089935302734,9.307861328125,9.32455062866211
mps-uncap,0.3,6.2340497970581055,9.376287460327148,9.340882301330566
mps-uncap,0.4,6.4601898193359375,9.5292329788208,9.462833404541016
