mode,load,0_mobilenet_v2-32,1_vgg16-16,2_vgg16-16
mps-uncap,0.8,767.8127148192732,607.5272072942395,589.4270822800387
mps-uncap,0.9,847.6130658508259,707.6873228120378,690.5932224764423
mps-uncap,1.0,886.5939161273537,749.5449415155965,760.4807622348646
mps-uncap,0.5,485.37751378844644,383.4062302327786,368.57190894855944
mps-uncap,0.6,549.8944171101423,431.7771625362724,462.3134672133948
mps-uncap,0.7,625.4730109778062,548.9037311626541,524.9230789520926
mps-uncap,0.1,92.5777657077911,82.92903812657558,69.83265681137004
mps-uncap,0.2,191.49740743870925,146.39703765227839,145.2874669347943
mps-uncap,0.3,297.98393695271983,225.74299059974575,217.1066693940178
mps-uncap,0.4,389.4520577665716,282.7421709604096,306.36265587979653
