mode,load,0_mobilenet_v2-32,1_vgg16-16,2_vgg16-16
mps-uncap,0.8,114.90528583526616,126.97939395904542,132.48498201370242
mps-uncap,0.9,281.10231876373285,187.91093826293937,231.6768050193789
mps-uncap,1.0,2524.858641624451,544.2312479019168,1001.5880846977234
mps-uncap,0.5,43.71459960937492,35.98982095718383,44.77175235748294
mps-uncap,0.6,58.733930587768576,58.24220180511482,50.789856910705545
mps-uncap,0.7,96.71118259429929,104.87421512603757,83.15435886383061
mps-uncap,0.1,15.5345106124878,17.355895042419426,17.93843269348144
mps-uncap,0.2,19.744834899902344,19.173369407653755,19.387712478637727
mps-uncap,0.3,34.73397493362426,28.014686107635477,27.994251251220714
mps-uncap,0.4,35.93731880187988,42.754530906677246,40.036203861236565
