mode,load,0_mobilenet_v2-32,1_vgg16-16,2_vgg16-16
mps-uncap,0.8,0.011682510375976562,0.010013580322265625,0.011205673217773438
mps-uncap,0.9,0.011682510375976562,0.011920928955078125,0.011682510375976562
mps-uncap,1.0,0.012636184692382812,0.012159347534179688,0.012636184692382812
mps-uncap,0.5,0.011444091796875,0.010013580322265625,0.011205673217773438
mps-uncap,0.6,0.011920928955078125,0.011444091796875,0.011444091796875
mps-uncap,0.7,0.011205673217773438,0.011682510375976562,0.010013580322265625
mps-uncap,0.1,0.018358230590820312,0.0152587890625,0.022411346435546875
mps-uncap,0.2,0.009775161743164062,0.014066696166992188,0.016927719116210938
mps-uncap,0.3,0.011682510375976562,0.013828277587890625,0.012874603271484375
mps-uncap,0.4,0.013589859008789062,0.010251998901367188,0.01239776611328125
