mode,load,0_mobilenet_v2-32,1_vgg16-16,2_vgg16-16
mps-uncap,0.8,41.2139892578125,24.14250373840332,23.661136627197266
mps-uncap,0.9,42.020559310913086,24.344205856323242,24.42336082458496
mps-uncap,1.0,41.8546199798584,23.418426513671875,24.863004684448242
mps-uncap,0.5,35.344839096069336,21.72565460205078,22.651195526123047
mps-uncap,0.6,41.41879081726074,22.826433181762695,22.582054138183594
mps-uncap,0.7,40.73214530944824,23.11849594116211,22.651195526123047
mps-uncap,0.1,21.605491638183594,19.7598934173584,20.551681518554688
mps-uncap,0.2,27.950525283813477,20.598173141479492,20.298480987548828
mps-uncap,0.3,36.70072555541992,20.905256271362305,20.6298828125
mps-uncap,0.4,38.686275482177734,21.25239372253418,21.824121475219727
