mode,load,0_densenet121-16,1_densenet121-16
mig,0.1,0.06318092346191406,0.0629425048828125
mig,0.2,0.057220458984375,0.05817413330078125
mig,0.3,0.057220458984375,0.05316734313964844
mig,0.4,0.055789947509765625,0.05412101745605469
mig,0.5,1.9757747650146484,0.072479248046875
mig,0.6,5.430817604064941,4.170417785644531
mig,0.7,11.305809020996094,9.047508239746094
mig,0.8,16.02315902709961,15.915393829345703
mig,0.9,33.60462188720703,37.432193756103516
mig,1.0,240.69130420684814,548.410177230835
